model,format,task_id,n_trials,n_unscorable,n_scorable,correct,incorrect,non_answer,pass_pow_n,mean_input_format_tokens,mean_output_tokens,mean_thinking_tokens,mean_tool_calls,mean_duration_ms
claude,flat,21_error_root_cause,3,0,3,2,1,0,0.667,26738.3,7018.3,0,9.33,119789
claude,flat,22_critical_path,3,0,3,0,3,0,0.0,23708.3,7744.3,0,8.67,149691
claude,flat,23_trace_shape,3,0,3,2,1,0,0.667,10219.7,4086.7,0,6,271849
claude,flat,24_attribute_hunt,3,0,3,0,3,0,0.0,19067.3,7520.7,0,9,293306
claude,flat,25_dependency,3,0,3,2,1,0,0.667,8286.7,3502.3,0,5,309469
claude,flat,26_compare_traces,3,0,3,0,3,0,0.0,13871.7,8659.3,0,8.67,176353
claude,tiered,21_error_root_cause,3,0,3,3,0,0,1.0,15728.3,4132.7,0,6.67,57495
claude,tiered,22_critical_path,3,0,3,3,0,0,1.0,16269.3,4121.7,0,3.33,67309
claude,tiered,23_trace_shape,3,0,3,1,2,0,0.333,24310,7599,0,7.33,121555
claude,tiered,24_attribute_hunt,3,0,3,3,0,0,1.0,20478.3,3000.3,0,4.67,55005
claude,tiered,25_dependency,3,0,3,3,0,0,1.0,9776,1045.3,0,2.67,21064
claude,tiered,26_compare_traces,3,0,3,3,0,0,1.0,26956,6706.7,0,5.33,78162
gemini,flat,21_error_root_cause,3,0,3,3,0,0,1.0,580745.3,351.3,1844.3,6.33,132704
gemini,flat,22_critical_path,3,0,3,2,1,0,0.667,106399.7,28,8221,0.67,500411
gemini,flat,23_trace_shape,3,0,3,0,2,1,0.0,454937,83.7,483.3,1,154363
gemini,flat,24_attribute_hunt,3,0,3,0,3,0,0.0,3750.7,34.3,839.7,1,45211
gemini,flat,25_dependency,3,0,3,3,0,0,1.0,255561.7,38.3,1451,1,56970
gemini,flat,26_compare_traces,3,0,3,0,3,0,0.0,332623.7,15,1107.7,0.33,252413
gemini,tiered,21_error_root_cause,3,0,3,3,0,0,1.0,13214,375.7,1243.7,11.67,73105
gemini,tiered,22_critical_path,3,0,3,3,0,0,1.0,13292,101.3,2034.3,3,42197
gemini,tiered,23_trace_shape,3,0,3,3,0,0,1.0,6766,110,908.7,1.67,32292
gemini,tiered,24_attribute_hunt,3,0,3,1,2,0,0.333,4817.3,109.3,1125.3,2,38609
gemini,tiered,25_dependency,3,0,3,3,0,0,1.0,11032.7,304.3,1078.7,7.33,69309
gemini,tiered,26_compare_traces,3,0,3,1,2,0,0.333,10006.3,275.3,2785,3,81750
