model,format,task_id,n_trials,correct,incorrect,non_answer,pass_pow_n,mean_input_format_tokens,mean_output_tokens,mean_thinking_tokens,mean_tool_calls,mean_duration_ms
claude,series,01_p99_now,3,3,0,0,1.0,18566.3,589.3,0,1,16962
claude,series,02_spike_detection,3,3,0,0,1.0,4940.3,3049,0,1,50665
claude,series,03_rank_error_rate,3,3,0,0,1.0,24802,724.7,0,2,19448
claude,series,04_correlation,3,3,0,0,1.0,5129.7,779,0,1,18082
claude,series,05_threshold,3,3,0,0,1.0,8117.3,322.3,0,1,14213
claude,series,06_trend,3,3,0,0,1.0,3945.3,318.7,0,1,11245
claude,summary,01_p99_now,3,3,0,0,1.0,3882,358,0,1,12332
claude,summary,02_spike_detection,3,0,0,3,0.0,2871,848,0,1,21248
claude,summary,03_rank_error_rate,3,2,1,0,0.667,5688,1812.7,0,4.67,34327
claude,summary,04_correlation,3,1,0,2,0.333,3287.3,834,0,1,20884
claude,summary,05_threshold,3,3,0,0,1.0,7518.7,585.3,0,1,19210
claude,summary,06_trend,3,1,0,2,0.333,5299,1557.7,0,3,40785
gemini,series,01_p99_now,3,3,0,0,1.0,37084,45.7,669.7,1,21471
gemini,series,02_spike_detection,3,3,0,0,1.0,36414.3,55.3,864.7,1,21304
gemini,series,03_rank_error_rate,3,3,0,0,1.0,41272.3,160,1095,4,24014
gemini,series,04_correlation,3,2,0,1,0.667,23950.3,77.3,413.3,2,19111
gemini,series,05_threshold,3,3,0,0,1.0,17660.7,25,417,1,17229
gemini,series,06_trend,3,3,0,0,1.0,25934.7,16.3,455.3,1,18445
gemini,summary,01_p99_now,3,3,0,0,1.0,12347,45.3,368.7,1,17270
gemini,summary,02_spike_detection,3,0,0,3,0.0,11444.7,107.7,798.7,1.33,22356
gemini,summary,03_rank_error_rate,3,1,0,2,0.333,13240,179.3,1036.3,5.33,24039
gemini,summary,04_correlation,3,2,0,1,0.667,11168.7,162.3,866,3,23924
gemini,summary,05_threshold,3,3,0,0,1.0,12286.7,25,462.3,1,18662
gemini,summary,06_trend,3,2,0,1,0.667,22885.3,185,1555.7,4.33,39335
